id,value
IB
IB.PYP,
IB.MYP,
IB.DP,
IB.CP,
IB.PYP.Language,
IB.PYP.Mathematics,
IB.PYP.Science,
IB.PYP.Social Studies,
IB.PYP.Arts,
IB.PYP.Personal/Social/Physical Education,
IB.MYP.Language & Literature,
IB.MYP.Language Acquisition,
IB.MYP.Individuals and Societies,
IB.MYP.Individuals and Societies.Geography,
IB.MYP.Individuals and Societies.History,
IB.MYP.Individuals and Societies.Integrated Humanities,
IB.MYP.Mathematics,
IB.MYP.Mathematics.Mathematics,
IB.MYP.Mathematics.Extended Mathematics,
IB.MYP.Sciences,
IB.MYP.Sciences.Biology,
IB.MYP.Sciences.Chemistry,
IB.MYP.Sciences.Physics,
IB.MYP.Sciences.Integrated Sciences,
IB.MYP.Art,
IB.MYP.Art.Visual Arts: Media,
IB.MYP.Art.Visual Arts: Visual,
IB.MYP.Art.Visual Arts: Integrated,
IB.MYP.Art.Performing Arts: Music,
IB.MYP.Art.Performing Arts: Drama,
IB.MYP.Art.Performing Arts: Dance,
IB.MYP.Art.Performing Arts: Integrated,
IB.MYP.Physical and Health Education,
IB.MYP.Design,
IB.DP.Group 1,
IB.DP.Group 1.Language A: Literature,
IB.DP.Group 1.Language A: Language & Literature,
IB.DP.Group 1.Literature & Performance,
IB.DP.Group 2,
IB.DP.Group 2.Language B,
IB.DP.Group 2.Language ab initio,
IB.DP.Group 2.Classical Languages,
IB.DP.Group 3,
IB.DP.Group 3.Business and management,
IB.DP.Group 3.Economics,
IB.DP.Group 3.Geography,
IB.DP.Group 3.History,
IB.DP.Group 3.Information Technology in a Global Society,
IB.DP.Group 3.Philosophy,
IB.DP.Group 3.Psychology,
IB.DP.Group 3.Social and Cultural Anthropology,
IB.DP.Group 3.World Religions (SL),
IB.DP.Group 3.Environment Systems and Societies,
IB.DP.Group 4,
IB.DP.Group 4.Biology,
IB.DP.Group 4.Chemistry,
IB.DP.Group 4.Design Technology,
IB.DP.Group 4.Environment Systems and Societies,
IB.DP.Group 4.Physics,
IB.DP.Group 4.Computer Science,
IB.DP.Group 4.Sports/Exercise/Health Science (SL),
IB.DP.Group 5,
IB.DP.Group 5.Mathematical Studies (SL),
IB.DP.Group 5.Further Mathematics (HL),
IB.DP.Group 5.Mathematics (SL),
IB.DP.Group 5.Mathematics (HL),
IB.DP.Group 6,
IB.DP.Group 6.Music,
IB.DP.Group 6.Theatre,
IB.DP.Group 6.Visual Arts,
IB.DP.Group 6.Dance,
IB.DP.Group 6.Film,
IB.DP.Group 6.Literature & Performance,
IB.CP.DP Course 1,
IB.CP.DP Course 2,
IB.CP.Career Program,
